Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Province or Territory / Province ou territoire de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,Emission Source / Source d'emission,CO2 (tonnes),Total Emissions from Source (tonnes CO2e) / Émissions totales de la Source (tonnes éq. CO2),Total Facility Emissions (tonnes CO2e) / Émissions totales de l'installation (tonnes éq. CO2)
G12651,2022,ABBT0060208,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,862.93662,867.44416,14380.10067
G12651,2022,ABBT0060208,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,8.36683,13512.65651,14380.10067
G12652,2022,Edmonton Organics Processing Facility,Alberta,Waste Treatment and Disposal,Stationary Fuel Combustion / Combustion stationnaire de combustibles,3797.2515,3818.0804,15027.3079
G12652,2022,Edmonton Organics Processing Facility,Alberta,Waste Treatment and Disposal,On-site Transportation / Transport sur le site,546.8612,550.446,15027.3079
G12652,2022,Edmonton Organics Processing Facility,Alberta,Waste Treatment and Disposal,Waste / Déchets,0,10658.7815,15027.3079
G12653,2022,BCBT0009073,British Columbia,Oil and gas extraction (except oil sands),Leakage / Fuites,0.7,767.34,15256.09
G12653,2022,BCBT0009073,British Columbia,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,13176.51,14488.75,15256.09
G12654,2022,Resthaven 02-10-060-01W6 MWB,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,217.9413,248.83526,15263.13494
G12654,2022,Resthaven 02-10-060-01W6 MWB,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0,2.38532,15263.13494
G12654,2022,Resthaven 02-10-060-01W6 MWB,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,5075.69995,5102.16367,15263.13494
G12654,2022,Resthaven 02-10-060-01W6 MWB,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,107.06773,9909.75069,15263.13494
G12655,2022,Jenner Sour Gas Plant,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,313.1278,374.250945,15476.73807
G12655,2022,Jenner Sour Gas Plant,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,14160.22,14863.25,15476.73807
G12655,2022,Jenner Sour Gas Plant,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0,239.237124,15476.73807
G12656,2022,02-06-79-11-W6M,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0,93.5536,15479.37264
G12656,2022,02-06-79-11-W6M,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,12654.5087,15381.4827,15479.37264
G12656,2022,02-06-79-11-W6M,Alberta,Oil and gas extraction (except oil sands),On-site Transportation / Transport sur le site,4.323987,4.336344,15479.37264
G12657,2022,Jarvie 01-10-063-01W5,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,13699.9141,15530.93272,15530.93272
G12658,2022,Ukalta 05-18,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,12506.4814,12563.2711,16049.668
